codbairro;bairro;codra;ra;lat;long
1;SAÚDE;1;PORTUARIA;-22.89584239;-43.18472751
2;GAMBOA;1;PORTUARIA;-22.89517445;-43.19202308
3;SANTO CRISTO;1;PORTUARIA;-22.90005407;-43.20171783
4;CAJU;1;PORTUARIA;-22.8771152;-43.22422413
5;CENTRO;2;CENTRO;-22.91024157;-43.17488108
6;CATUMBI;3;RIO COMPRIDO;-22.91650529;-43.19533186
7;RIO COMPRIDO;3;RIO COMPRIDO;-22.92573049;-43.20808293
8;CIDADE NOVA;3;RIO COMPRIDO;-22.91090181;-43.20401533
9;ESTÁCIO;3;RIO COMPRIDO;-22.91748215;-43.20551781
10;SÃO CRISTÓVÃO;7;SAO CRISTOVAO;-22.89800082;-43.22024404
12;BENFICA;7;SAO CRISTOVAO;-22.89285112;-43.23591018
13;PAQUETÁ;21;PAQUETA;-22.761389;-43.108028
14;SANTA TERESA;23;SANTA TEREZA;-22.9181862;-43.18614241
15;FLAMENGO;4;BOTAFOGO;-22.93292068;-43.17415932
16;GLÓRIA;4;BOTAFOGO;-22.92032566;-43.1773327
17;LARANJEIRAS;4;BOTAFOGO;-22.93696554;-43.18727691
18;CATETE;4;BOTAFOGO;-22.92950101;-43.17884627
19;COSME VELHO;4;BOTAFOGO;-22.94039088;-43.19933526
20;BOTAFOGO;4;BOTAFOGO;-22.95118713;-43.18787657
21;HUMAITÁ;4;BOTAFOGO;-22.95672827;-43.19887373
22;URCA;4;BOTAFOGO;-22.9474854;-43.16536051
23;LEME;5;COPACABANA;-22.96375817;-43.1712184
24;COPACABANA;5;COPACABANA;-22.97358282;-43.18623653
25;IPANEMA;6;LAGOA;-22.98396675;-43.20301402
26;LEBLON;6;LAGOA;-22.9841609;-43.2251327
27;LAGOA;6;LAGOA;-22.96773802;-43.21541625
28;JARDIM BOTÂNICO;6;LAGOA;-22.96144245;-43.21244665
29;GÁVEA;6;LAGOA;-22.97865897;-43.23241705
30;VIDIGAL;6;LAGOA;-22.99461103;-43.23512068
31;SÃO CONRADO;6;LAGOA;-22.99658984;-43.26119814
32;PRAÇA DA BANDEIRA;8;TIJUCA;-22.914694;-43.212389
33;TIJUCA;8;TIJUCA;-22.92667289;-43.23061963
34;ALTO DA BOA VISTA;8;TIJUCA;-22.97847682;-43.29110637
35;MARACANÃ;9;VILA ISABEL;-22.91542446;-43.22923863
36;VILA ISABEL;9;VILA ISABEL;-22.91895635;-43.24213426
37;ANDARAÍ;9;VILA ISABEL;-22.92139814;-43.25046938
38;GRAJAÚ;9;VILA ISABEL;-22.92212867;-43.26156496
39;MANGUINHOS;10;RAMOS;-22.88225;-43.254361
40;BONSUCESSO;10;RAMOS;-22.86610877;-43.24997794
41;RAMOS;10;RAMOS;-22.84826569;-43.2518927
42;OLARIA;10;RAMOS;-22.84024754;-43.26255866
43;PENHA;11;PENHA;-22.83958254;-43.27673815
44;PENHA CIRCULAR;11;PENHA;-22.82947461;-43.28562159
45;BRÁS DE PINA;11;PENHA;-22.82899268;-43.29029972
46;CORDOVIL;31;VIGARIO GERAL;-22.81280024;-43.29064393
47;PARADA DE LUCAS;31;VIGARIO GERAL;-22.81900396;-43.30620418
48;VIGÁRIO GERAL;31;VIGARIO GERAL;-22.81252012;-43.31359655
49;JARDIM AMÉRICA;31;VIGARIO GERAL;-22.810619;-43.329889
50;HIGIENÓPOLIS;12;INHAUMA;-22.879111;-43.255194
51;JACARÉ;13;MEIER;-22.890583;-43.25625
52;MARIA DA GRAÇA;12;INHAUMA;-22.885278;-43.271389
53;DEL CASTILHO;12;INHAUMA;-22.88146339;-43.27787648
54;INHAÚMA;12;INHAUMA;-22.86822774;-43.28875717
55;ENGENHO DA RAINHA;12;INHAUMA;-22.863889;-43.2905
56;TOMÁS COELHO;12;INHAUMA;-22.869722;-43.3035
58;ROCHA;13;MEIER;-22.90167491;-43.24768428
59;RIACHUELO;13;MEIER;-22.90041058;-43.25415852
60;SAMPAIO;13;MEIER;-22.899194;-43.261333
61;ENGENHO NOVO;13;MEIER;-22.91393262;-43.26372054
62;LINS DE VASCONCELOS;13;MEIER;-22.911333;-43.283139
