GEOCODIGO;CODAREA
350835;35035
320307;32007
210102;21002
280204;28004
280206;28006
240315;24015
310841;31041
270102;27002
290417;29017
320411;32011
311049;31049
150103;15003
310314;31014
510102;51002
150515;15015
510522;51022
260309;26009
510312;51012
210311;21011
220415;22015
220310;22010
510418;51018
510415;51015
220307;22007
130203;13003
500203;50003
510106;51006
110205;11005
160102;16002
350733;35033
520307;52007
350316;35016
311055;31055
240209;24009
520309;52009
410310;41010
500102;50002
280311;28011
350317;35017
310312;31012
520103;52003
170102;17002
270206;27006
420620;42020
350524;35024
150206;15006
260101;26001
310523;31023
510105;51005
510101;51001
110203;11003
410414;41014
351039;35039
410306;41006
350106;35006
350422;35022
330409;33009
330513;33013
240313;24013
210105;21005
280310;28010
230209;23009
230523;23023
500101;50001
210413;21013
220101;22001
351352;35052
311159;31059
290206;29006
320101;32001
330512;33012
290101;29001
350209;35009
230731;23031
270104;27004
350215;35015
230213;23013
350420;35020
150307;15007
310730;31030
220308;22008
170101;17001
350318;35018
420412;42012
140101;14001
130411;13011
310209;31009
500409;50009
310626;31026
290207;29007
280312;28012
290622;29022
240314;24014
350423;35023
351248;35048
150410;15010
120205;12005
530101;53001
250315;25015
260312;26012
230733;23033
290627;29027
430422;43022
320412;32012
110206;11006
250102;25002
430528;43028
150411;15011
430630;43030
430631;43031
430629;43029
250317;25017
350732;35032
310945;31045
500204;50004
220204;22004
410205;41005
420310;42010
351349;35049
330203;33003
510210;51010
230212;23012
420206;42006
330306;33006
410725;41025
351144;35044
310311;31011
140203;14003
351354;35054
310840;31040
430109;43009
280102;28002
230732;23032
250210;25010
250211;25011
230730;23030
230215;23015
500305;50005
150308;15008
311266;31066
520517;52017
350105;35005
250101;25001
290519;29019
210417;21017
430216;43016
520306;52006
411035;41035
430106;43006
240102;24002
230729;23029
520205;52005
210521;21021
210418;21018
220312;22012
210414;21014
420102;42002
230214;23014
410103;41003
130306;13006
210415;21015
210416;21016
320103;32003
510103;51003
110208;11008
150622;15022
310728;31028
420105;42005
310734;31034
230103;23003
410415;41015
290102;29002
280308;28008
420619;42019
430111;43011
120101;12001
510417;51017
250312;25012
250313;25013
411037;41037
420309;42009
310625;31025
310310;31010
170208;17008
310943;31043
500410;50010
350834;35034
520412;52012
290418;29018
430104;43004
250314;25014
280313;28013
290414;29014
410312;41012
290312;29012
260519;26019
350102;35002
410308;41008
220309;22009
420516;42016
310944;31044
230316;23016
410624;41024
350212;35012
410726;41026
351558;35058
430103;43003
310521;31021
150205;15005
260311;26011
210520;21020
520310;52010
410204;41004
310837;31037
430524;43024
310208;31008
110102;11002
150413;15013
290626;29026
310835;31035
430214;43014
250316;25016
320310;32010
410829;41029
351351;35051
351559;35059
210207;21007
410417;41017
230102;23002
500411;50011
230626;23026
430108;43008
290731;29031
210209;21009
310839;31039
520308;52008
230106;23006
410932;41032
290309;29009
250318;25018
290311;29011
310731;31031
130309;13009
330617;33017
310732;31032
150514;15014
420413;42013
311056;31056
260516;26016
351456;35056
260206;26006
351560;35060
210106;21006
320413;32013
330101;33001
290629;29029
351142;35042
351141;35041
230208;23008
250106;25006
310517;31017
420414;42014
350211;35011
410313;41013
350213;35013
410416;41016
290310;29010
430734;43034
410520;41020
170207;17007
350101;35001
310204;31004
310203;31003
280309;28009
130102;13002
350421;35021
510314;51014
290624;29024
290413;29013
110204;11004
420104;42004
250422;25022
420208;42008
290204;29004
311265;31065
351247;35047
130204;13004
330410;33010
430421;43021
411036;41036
311157;31057
230628;23028
210104;21004
350627;35027
320206;32006
350419;35019
230522;23022
230101;23001
430735;43035
240416;24016
250420;25020
270310;27010
210101;21001
220102;22002
240419;24019
290625;29025
410311;41011
330616;33016
330204;33004
240417;24017
160203;16003
240208;24008
270311;27011
130413;13013
130307;13007
311261;31061
310838;31038
150620;15020
350938;35038
410309;41009
270309;27009
260415;26015
260413;26013
160204;16004
510211;51011
260310;26010
230211;23011
230524;23024
210310;21010
240103;24003
220205;22005
520515;52015
230104;23004
170103;17003
351562;35062
350731;35031
320204;32004
430523;43023
310207;31007
240101;24001
311263;31063
310416;31016
430112;43012
240418;24018
350107;35007
140102;14002
510209;51009
280203;28003
500308;50008
330307;33007
320102;32002
350108;35008
150101;15001
160101;16001
310946;31046
351557;35057
430527;43027
351040;35040
310733;31033
230317;23017
260103;26003
410830;41030
270205;27005
310729;31029
310102;31002
150617;15017
351353;35053
411038;41038
500306;50006
510108;51008
410101;41001
150619;15019
510104;51004
130310;13010
430110;43010
311047;31047
410727;41027
250104;25004
310520;31020
310519;31019
240106;24006
290205;29005
310836;31036
310313;31013
430733;43033
270313;27013
260205;26005
250105;25005
220413;22013
351245;35045
210208;21008
220414;22014
350628;35028
310206;31006
350729;35029
520516;52016
410828;41028
310942;31042
311051;31051
410521;41021
311260;31060
520204;52004
410307;41007
150204;15004
430526;43026
210519;21019
170206;17006
290732;29032
110101;11001
311052;31052
210312;21012
350836;35036
510519;51019
280307;28007
410931;41031
130412;13012
520518;52018
260517;26017
150621;15021
351455;35055
430319;43019
290415;29015
350214;35014
120204;12004
350626;35026
330618;33018
420411;42011
170104;17004
130101;13001
130308;13008
520102;52002
510521;51021
210103;21003
510416;51016
150409;15009
260102;26002
310205;31005
290521;29021
430105;43005
430420;43020
430318;43018
290103;29003
330308;33008
230107;23007
311053;31053
430101;43001
320308;32008
270103;27003
150102;15002
430317;43017
430107;43007
290520;29020
330102;33002
351563;35063
420207;42007
350525;35025
150618;15018
430525;43025
350730;35030
311158;31058
350210;35010
350104;35004
351350;35050
311054;31054
320205;32005
410934;41034
420101;42001
520101;52001
270312;27012
351561;35061
220311;22011
311048;31048
250421;25021
290623;29023
120203;12003
290308;29008
280101;28001
240211;24011
250208;25008
240212;24012
250209;25009
240210;24010
240105;24005
230525;23025
250107;25007
330615;33015
270101;27001
270308;27008
430732;43032
290416;29016
230418;23018
230420;23020
230419;23019
230421;23021
260104;26004
310727;31027
510107;51007
230105;23005
430113;43013
351246;35046
250103;25003
260518;26018
140204;14004
520513;52013
420517;42017
510313;51013
120102;12002
351143;35043
130305;13005
410519;41019
310415;31015
220203;22003
510520;51020
420515;42015
280205;28005
410622;41022
150412;15012
270207;27007
500307;50007
310624;31024
430102;43002
330305;33005
420618;42018
150616;15016
350937;35037
311264;31064
310522;31022
310518;31018
240107;24007
250319;25019
410102;41002
310101;31001
410933;41033
230210;23010
430215;43015
240104;24004
260307;26007
260308;26008
330511;33011
520514;52014
290730;29030
220206;22006
520411;52011
311050;31050
230627;23027
330614;33014
311262;31062
110207;11007
320309;32009
290628;29028
260414;26014
350103;35003
410418;41018
420103;42003
170105;17005
