,codbairro,pais,mes,ano,diasem,conexoes,dispositivos
0,1,Angola,10,2020,ter,1,1
1,1,Argentina,01,2021,sab,1,1
2,1,Argentina,01,2021,ter,1,1
3,1,Argentina,02,2021,qui,1,1
4,1,Argentina,02,2021,sex,1,1
5,1,Argentina,07,2020,sex,1,1
6,1,Argentina,07,2021,ter,1,1
7,1,Argentina,08,2020,seg,1,1
8,1,Argentina,08,2021,qua,2,2
9,1,Argentina,09,2021,qua,1,1
10,1,Argentina,09,2021,qui,1,1
11,1,Argentina,09,2021,sex,1,1
12,1,Argentina,10,2021,qui,2,1
13,1,Argentina,10,2021,seg,1,1
14,1,Argentina,10,2021,ter,2,2
15,1,Argentina,12,2020,ter,1,1
16,1,Belgium,01,2021,qua,2,1
17,1,Belgium,03,2021,dom,1,1
18,1,Belgium,08,2021,sab,1,1
19,1,Belgium,09,2021,sex,1,1
20,1,Brazil,08,2020,seg,1,1
21,1,Chile,01,2021,dom,2,1
22,1,Chile,01,2021,qua,16,4
23,1,Chile,01,2021,qui,3,2
24,1,Chile,01,2021,sab,3,1
25,1,Chile,01,2021,sex,1,1
26,1,Chile,01,2021,ter,6,5
27,1,Chile,02,2021,dom,1,1
28,1,Chile,02,2021,qua,8,5
29,1,Chile,02,2021,sab,1,1
30,1,Chile,02,2021,seg,1,1
31,1,Chile,03,2021,dom,2,1
32,1,Chile,03,2021,qua,4,3
33,1,Chile,03,2021,qui,2,2
34,1,Chile,03,2021,sab,4,2
35,1,Chile,03,2021,seg,1,1
36,1,Chile,03,2021,ter,1,1
37,1,Chile,09,2021,dom,3,2
38,1,Chile,09,2021,qua,1,1
39,1,Chile,09,2021,ter,2,1
40,1,Chile,10,2021,sab,1,1
41,1,Chile,10,2021,seg,1,1
42,1,Chile,11,2020,seg,4,1
43,1,Chile,12,2020,sab,1,1
44,1,Chile,12,2020,sex,1,1
45,1,China,03,2021,qua,1,1
46,1,China,03,2021,seg,4,2
47,1,China,04,2021,qui,1,1
48,1,China,04,2021,sab,1,1
49,1,China,04,2021,seg,1,1
50,1,China,04,2021,sex,2,1
51,1,China,05,2021,qui,3,3
52,1,China,05,2021,sab,3,3
53,1,China,05,2021,seg,2,1
54,1,China,05,2021,sex,2,2
55,1,China,06,2020,qua,1,1
56,1,China,06,2020,sex,1,1
57,1,China,06,2021,dom,3,3
58,1,China,06,2021,sab,2,2
59,1,China,06,2021,seg,4,4
60,1,China,06,2021,sex,1,1
61,1,China,06,2021,ter,6,3
62,1,China,08,2020,qui,3,1
63,1,China,08,2021,dom,1,1
64,1,China,08,2021,qua,2,2
65,1,China,08,2021,seg,2,2
66,1,China,09,2021,qui,1,1
67,1,China,12,2020,qua,2,2
68,1,China,12,2020,qui,1,1
69,1,China,12,2020,seg,1,1
70,1,Colombia,06,2021,sab,1,1
71,1,Colombia,08,2021,dom,1,1
72,1,Colombia,08,2021,seg,1,1
73,1,Colombia,10,2021,sex,3,3
74,1,Colombia,10,2021,ter,1,1
75,1,Denmark,08,2021,seg,1,1
76,1,Denmark,09,2021,qua,2,1
77,1,Estonia,07,2021,qui,3,1
78,1,France,01,2021,ter,2,1
79,1,France,04,2021,qui,1,1
80,1,France,05,2021,ter,1,1
81,1,France,06,2020,sab,1,1
82,1,France,06,2020,ter,1,1
83,1,France,06,2021,qua,1,1
84,1,France,06,2021,seg,1,1
85,1,France,07,2021,ter,1,1
86,1,France,09,2020,ter,1,1
87,1,France,10,2020,ter,1,1
88,1,France,10,2021,sab,1,1
89,1,France,10,2021,seg,1,1
90,1,France,10,2021,sex,1,1
91,1,France,10,2021,ter,3,1
92,1,France,12,2020,qui,2,1
93,1,France,12,2020,sex,1,1
94,1,Germany,01,2021,seg,2,1
95,1,Germany,09,2020,sex,1,1
96,1,Germany,09,2021,sab,1,1
97,1,Germany,11,2020,ter,2,1
98,1,Germany,12,2020,dom,1,1
99,1,Greece,01,2021,dom,1,1
100,1,Guatemala,09,2021,qui,4,1
101,1,India,01,2021,sab,1,1
102,1,India,02,2021,dom,1,1
103,1,India,03,2021,seg,1,1
104,1,India,04,2021,qui,3,1
105,1,India,05,2021,dom,1,1
106,1,India,05,2021,sab,4,1
107,1,India,05,2021,seg,1,1
108,1,India,06,2020,ter,1,1
109,1,India,06,2021,dom,1,1
110,1,India,06,2021,qua,1,1
111,1,India,08,2020,dom,3,2
112,1,India,08,2020,sex,1,1
113,1,India,09,2021,dom,1,1
114,1,India,09,2021,qua,1,1
115,1,India,09,2021,seg,1,1
116,1,India,10,2020,qua,8,2
117,1,India,10,2020,sex,1,1
118,1,India,10,2021,dom,1,1
119,1,India,10,2021,sab,1,1
120,1,India,10,2021,ter,1,1
121,1,India,11,2020,dom,2,1
122,1,Israel,02,2021,qui,1,1
123,1,Israel,06,2021,seg,2,1
124,1,Italy,02,2021,qui,1,1
125,1,Italy,03,2021,sex,2,1
126,1,Italy,04,2021,sex,2,1
127,1,Italy,06,2021,qua,3,1
128,1,Italy,06,2021,ter,1,1
129,1,Italy,07,2021,dom,1,1
130,1,Italy,07,2021,qua,4,3
131,1,Italy,07,2021,sab,7,1
132,1,Italy,07,2021,sex,5,2
133,1,Italy,07,2021,ter,13,2
