,codra,pais,mes,ano,diasem,conexoes,dispositivos
0,1,Angola,08,2021,sex,9,1
1,1,Angola,09,2021,qui,2,1
2,1,Angola,09,2021,sex,1,1
3,1,Angola,10,2020,ter,1,1
4,1,Argentina,01,2021,qua,7,3
5,1,Argentina,01,2021,qui,2,2
6,1,Argentina,01,2021,sab,1,1
7,1,Argentina,01,2021,seg,1,1
8,1,Argentina,01,2021,sex,1,1
9,1,Argentina,01,2021,ter,3,3
10,1,Argentina,02,2021,dom,1,1
11,1,Argentina,02,2021,qua,23,4
12,1,Argentina,02,2021,qui,11,7
13,1,Argentina,02,2021,sab,8,2
14,1,Argentina,02,2021,sex,28,5
15,1,Argentina,02,2021,ter,21,4
16,1,Argentina,03,2021,dom,1,1
17,1,Argentina,03,2021,qui,5,2
18,1,Argentina,03,2021,sex,1,1
19,1,Argentina,05,2021,seg,1,1
20,1,Argentina,06,2020,qua,1,1
21,1,Argentina,06,2020,seg,2,2
22,1,Argentina,06,2021,sex,2,2
23,1,Argentina,07,2020,sex,1,1
24,1,Argentina,07,2021,ter,1,1
25,1,Argentina,08,2020,seg,1,1
26,1,Argentina,08,2021,qua,2,2
27,1,Argentina,09,2020,qui,1,1
28,1,Argentina,09,2020,ter,1,1
29,1,Argentina,09,2021,qua,2,2
30,1,Argentina,09,2021,qui,1,1
31,1,Argentina,09,2021,sex,1,1
32,1,Argentina,10,2021,qui,2,1
33,1,Argentina,10,2021,seg,3,1
34,1,Argentina,10,2021,ter,2,2
35,1,Argentina,11,2020,dom,2,2
36,1,Argentina,11,2020,qui,14,4
37,1,Argentina,11,2020,sab,3,1
38,1,Argentina,11,2020,seg,6,2
39,1,Argentina,11,2020,sex,11,2
40,1,Argentina,11,2020,ter,3,2
41,1,Argentina,12,2020,qua,4,4
42,1,Argentina,12,2020,qui,1,1
43,1,Argentina,12,2020,sab,5,3
44,1,Argentina,12,2020,seg,4,3
45,1,Argentina,12,2020,sex,5,4
46,1,Argentina,12,2020,ter,7,6
