,eleicao,codmun,vencedor,vt_dir,vt_esq,qt_secoes,codmicro,codmeso,uf,regiao,lat,long,escala_idh,escala_dens
0,2018,1100015,DIREITA,8393,3242,68,110206,1102,RO,N,"-11,9355403","-61,9998239",MEDIA,MUITO BAIXA
1,2018,1100015,ESQUERDA,131,521,4,110206,1102,RO,N,"-11,9355403","-61,9998239",MEDIA,MUITO BAIXA
2,2022,1100015,DIREITA,9658,3585,68,110206,1102,RO,N,"-11,9355403","-61,9998239",MEDIA,MUITO BAIXA
3,2022,1100015,ESQUERDA,110,374,4,110206,1102,RO,N,"-11,9355403","-61,9998239",MEDIA,MUITO BAIXA
4,2018,1100023,DIREITA,37146,8630,246,110203,1102,RO,N,"-9,908462867","-63,03326928",ALTA,MEDIA
5,2018,1100023,ESQUERDA,179,232,3,110203,1102,RO,N,"-9,908462867","-63,03326928",ALTA,MEDIA
6,2022,1100023,DIREITA,39808,10420,260,110203,1102,RO,N,"-9,908462867","-63,03326928",ALTA,MEDIA
7,2022,1100023,EMPATE,93,93,1,110203,1102,RO,N,"-9,908462867","-63,03326928",ALTA,MEDIA
8,2018,1100031,DIREITA,2078,1040,18,110208,1102,RO,N,"-13,49976346","-60,54431358",MEDIA,MUITO BAIXA
9,2018,1100031,ESQUERDA,64,70,1,110208,1102,RO,N,"-13,49976346","-60,54431358",MEDIA,MUITO BAIXA
10,2022,1100031,DIREITA,2339,1039,13,110208,1102,RO,N,"-13,49976346","-60,54431358",MEDIA,MUITO BAIXA
11,2022,1100031,ESQUERDA,66,67,1,110208,1102,RO,N,"-13,49976346","-60,54431358",MEDIA,MUITO BAIXA
12,2018,1100049,DIREITA,35156,8972,220,110206,1102,RO,N,"-11,43386503","-61,44294421",ALTA,MEDIA
13,2018,1100049,ESQUERDA,806,1119,10,110206,1102,RO,N,"-11,43386503","-61,44294421",ALTA,MEDIA
14,2022,1100049,DIREITA,37397,11628,228,110206,1102,RO,N,"-11,43386503","-61,44294421",ALTA,MEDIA
15,2022,1100049,ESQUERDA,583,809,7,110206,1102,RO,N,"-11,43386503","-61,44294421",ALTA,MEDIA
16,2018,1100056,DIREITA,7656,1745,49,110208,1102,RO,N,"-13,19503303","-60,81842616",MEDIA,MUITO BAIXA
17,2022,1100056,DIREITA,7854,1990,49,110208,1102,RO,N,"-13,19503303","-60,81842616",MEDIA,MUITO BAIXA
18,2018,1100064,DIREITA,6932,2441,58,110208,1102,RO,N,"-13,13056384","-60,55506746",MEDIA,BAIXA
19,2022,1100064,DIREITA,7253,2606,40,110208,1102,RO,N,"-13,13056384","-60,55506746",MEDIA,BAIXA
20,2018,1100072,DIREITA,2334,1248,20,110208,1102,RO,N,"-12,99752024","-60,94870117",MEDIA,MUITO BAIXA
21,2018,1100072,ESQUERDA,251,365,4,110208,1102,RO,N,"-12,99752024","-60,94870117",MEDIA,MUITO BAIXA
22,2022,1100072,DIREITA,2646,1475,23,110208,1102,RO,N,"-12,99752024","-60,94870117",MEDIA,MUITO BAIXA
23,2022,1100072,ESQUERDA,37,49,1,110208,1102,RO,N,"-12,99752024","-60,94870117",MEDIA,MUITO BAIXA
24,2018,1100080,DIREITA,2862,1616,24,110102,1101,RO,N,"-12,43601388","-64,23165394",MEDIA,MUITO BAIXA
25,2018,1100080,ESQUERDA,458,713,8,110102,1101,RO,N,"-12,43601388","-64,23165394",MEDIA,MUITO BAIXA
26,2022,1100080,DIREITA,3751,1772,28,110102,1101,RO,N,"-12,43601388","-64,23165394",MEDIA,MUITO BAIXA
27,2022,1100080,ESQUERDA,469,653,8,110102,1101,RO,N,"-12,43601388","-64,23165394",MEDIA,MUITO BAIXA
28,2018,1100098,DIREITA,12077,3944,79,110206,1102,RO,N,"-11,52855463","-61,02017311",MEDIA,MUITO BAIXA
29,2018,1100098,EMPATE,77,77,1,110206,1102,RO,N,"-11,52855463","-61,02017311",MEDIA,MUITO BAIXA
30,2018,1100098,ESQUERDA,382,572,5,110206,1102,RO,N,"-11,52855463","-61,02017311",MEDIA,MUITO BAIXA
31,2022,1100098,DIREITA,13491,4062,85,110206,1102,RO,N,"-11,52855463","-61,02017311",MEDIA,MUITO BAIXA
32,2022,1100098,ESQUERDA,104,150,1,110206,1102,RO,N,"-11,52855463","-61,02017311",MEDIA,MUITO BAIXA
33,2018,1100106,DIREITA,12565,4700,96,110102,1101,RO,N,"-10,77388374","-65,32395182",MEDIA,MUITO BAIXA
34,2018,1100106,ESQUERDA,273,1144,8,110102,1101,RO,N,"-10,77388374","-65,32395182",MEDIA,MUITO BAIXA
35,2022,1100106,DIREITA,12685,5718,96,110102,1101,RO,N,"-10,77388374","-65,32395182",MEDIA,MUITO BAIXA
36,2022,1100106,ESQUERDA,316,1120,8,110102,1101,RO,N,"-10,77388374","-65,32395182",MEDIA,MUITO BAIXA
37,2018,1100114,DIREITA,19879,5627,123,110204,1102,RO,N,"-10,43594877","-62,47623071",MEDIA,BAIXA
38,2022,1100114,DIREITA,22611,6813,133,110204,1102,RO,N,"-10,43594877","-62,47623071",MEDIA,BAIXA
39,2018,1100122,DIREITA,48372,13636,305,110204,1102,RO,N,"-10,88205132","-61,94509458",ALTA,BAIXA
40,2018,1100122,ESQUERDA,148,538,4,110204,1102,RO,N,"-10,88205132","-61,94509458",ALTA,BAIXA
41,2022,1100122,DIREITA,51267,16209,298,110204,1102,RO,N,"-10,88205132","-61,94509458",ALTA,BAIXA
42,2022,1100122,ESQUERDA,148,502,3,110204,1102,RO,N,"-10,88205132","-61,94509458",ALTA,BAIXA
43,2018,1100130,DIREITA,9337,4428,79,110203,1102,RO,N,"-9,42556248","-61,99959257",BAIXA,MUITO BAIXA
44,2018,1100130,ESQUERDA,176,205,2,110203,1102,RO,N,"-9,42556248","-61,99959257",BAIXA,MUITO BAIXA
45,2022,1100130,DIREITA,11481,4739,78,110203,1102,RO,N,"-9,42556248","-61,99959257",BAIXA,MUITO BAIXA
46,2022,1100130,ESQUERDA,9,11,1,110203,1102,RO,N,"-9,42556248","-61,99959257",BAIXA,MUITO BAIXA
47,2018,1100148,DIREITA,6667,2703,47,110205,1102,RO,N,"-11,72132541","-62,30823016",MEDIA,MUITO BAIXA
48,2018,1100148,ESQUERDA,56,87,1,110205,1102,RO,N,"-11,72132541","-62,30823016",MEDIA,MUITO BAIXA
49,2022,1100148,DIREITA,7387,2773,46,110205,1102,RO,N,"-11,72132541","-62,30823016",MEDIA,MUITO BAIXA
50,2022,1100148,ESQUERDA,70,81,1,110205,1102,RO,N,"-11,72132541","-62,30823016",MEDIA,MUITO BAIXA
51,2018,1100155,DIREITA,13779,4696,103,110204,1102,RO,N,"-10,7235739","-62,26105519",MEDIA,BAIXA
52,2022,1100155,DIREITA,14631,5872,96,110204,1102,RO,N,"-10,7235739","-62,26105519",MEDIA,BAIXA
53,2018,1100189,DIREITA,15045,4284,103,110207,1102,RO,N,"-11,67753699","-61,18366567",ALTA,MUITO BAIXA
54,2022,1100189,DIREITA,14851,4833,110,110207,1102,RO,N,"-11,67753699","-61,18366567",ALTA,MUITO BAIXA
55,2022,1100189,ESQUERDA,81,94,3,110207,1102,RO,N,"-11,67753699","-61,18366567",ALTA,MUITO BAIXA
56,2018,1100205,DIREITA,164296,71389,1088,110101,1101,RO,N,"-8,76889179","-63,83144565",ALTA,BAIXA
57,2018,1100205,ESQUERDA,1849,3458,38,110101,1101,RO,N,"-8,76889179","-63,83144565",ALTA,BAIXA
58,2022,1100205,DIREITA,166939,89133,1126,110101,1101,RO,N,"-8,76889179","-63,83144565",ALTA,BAIXA
59,2022,1100205,ESQUERDA,2360,3503,33,110101,1101,RO,N,"-8,76889179","-63,83144565",ALTA,BAIXA
60,2018,1100254,DIREITA,7570,2701,62,110204,1102,RO,N,"-11,17320502","-61,90943868",MEDIA,BAIXA
61,2018,1100254,ESQUERDA,198,277,3,110204,1102,RO,N,"-11,17320502","-61,90943868",MEDIA,BAIXA
62,2022,1100254,DIREITA,8193,2895,55,110204,1102,RO,N,"-11,17320502","-61,90943868",MEDIA,BAIXA
63,2022,1100254,ESQUERDA,59,114,1,110204,1102,RO,N,"-11,17320502","-61,90943868",MEDIA,BAIXA
64,2018,1100262,DIREITA,1446,539,10,110203,1102,RO,N,"-9,70553671","-62,90001037",MEDIA,MUITO BAIXA
65,2022,1100262,DIREITA,1752,590,11,110203,1102,RO,N,"-9,70553671","-62,90001037",MEDIA,MUITO BAIXA
66,2018,1100288,DIREITA,21429,6779,138,110206,1102,RO,N,"-11,72225891","-61,78578094",ALTA,ALTA
67,2022,1100288,DIREITA,21868,7669,136,110206,1102,RO,N,"-11,72225891","-61,78578094",ALTA,ALTA
68,2018,1100296,DIREITA,3053,1632,27,110206,1102,RO,N,"-11,90842333","-61,77330546",MEDIA,MUITO BAIXA
69,2022,1100296,DIREITA,3184,1652,21,110206,1102,RO,N,"-11,90842333","-61,77330546",MEDIA,MUITO BAIXA
70,2018,1100304,DIREITA,36531,8396,226,110207,1102,RO,N,"-12,74137347","-60,13858387",ALTA,MUITO BAIXA
71,2022,1100304,DIREITA,37718,10994,208,110207,1102,RO,N,"-12,74137347","-60,13858387",ALTA,MUITO BAIXA
72,2018,1100320,DIREITA,7386,3616,52,110205,1102,RO,N,"-11,69948974","-62,72006348",MEDIA,MUITO BAIXA
73,2022,1100320,DIREITA,8564,3998,57,110205,1102,RO,N,"-11,69948974","-62,72006348",MEDIA,MUITO BAIXA
