CODMESO;UF;REGIAO;MESOREGIAO;LAT;LONG;IDHM2010;ESCALA_IDH;POP;AREA;DENSID
1202;AC;N;VALE DO ACRE;-10,33670879;-69,04036177;0,679973007;MEDIO;587.960;78.723;7,5
1201;AC;N;VALE DO JURUA;-8,845979209;-72,54929657;0,589374051;BAIXO;242.066;85.451;2,8
2702;AL;NE;AGRESTE ALAGOANO;-9,671393082;-36,69353019;0,59543768;BAIXO;637.651;5.770;110,5
2703;AL;NE;LESTE ALAGOANO;-9,523960937;-36,07127128;0,649393762;MEDIO;2.067.013;13.233;156,2
2701;AL;NE;SERTAO ALAGOANO;-9,355527774;-37,49932407;0,557185627;BAIXO;422.847;8.831;47,9
1303;AM;N;CENTRO AMAZONENSE;-3,363222168;-61,24102361;0,692715367;MEDIO;3.089.687;356.910;8,7
1301;AM;N;NORTE AMAZONENSE;-0,796723712;-64,82997336;0,552952613;BAIXO;124.929;404.889;0,3
1302;AM;N;SUDOESTE AMAZONENSE;-5,045622935;-68,9715421;0,541267091;BAIXO;400.916;325.959;1,2
1304;AM;N;SUL AMAZONENSE;-6,687204354;-63,77700259;0,566175935;BAIXO;325.643;471.499;0,7
1601;AP;N;NORTE DO AMAPA;2,217272991;-51,73575425;0,637167476;MEDIO;62.785;57.240;1,1
1602;AP;N;SUL DO AMAPA;1,260273768;-52,65953671;0,708884185;ALTO;670.723;85.231;7,9
2903;BA;NE;CENTRO NORTE BAIANO;-11,70058992;-40,61796531;0,630141695;MEDIO;2.311.445;82.712;27,9
2906;BA;NE;CENTRO SUL BAIANO;-13,9736432;-41,16035346;0,611931226;MEDIO;2.527.628;128.304;19,7
2901;BA;NE;EXTREMO OESTE BAIANO;-13,00111419;-45,35980199;0,649028155;MEDIO;661.937;117.472;5,6
2905;BA;NE;METROPOLITANA DE SALVADOR;-12,77177793;-38,85972666;0,726196316;ALTO;4.044.030;11.326;357,1
2904;BA;NE;NORDESTE BAIANO;-11,01721201;-38,55772198;0,584976026;BAIXO;1.550.036;56.083;27,6
2907;BA;NE;SUL BAIANO;-15,38446451;-39,64124791;0,636503984;MEDIO;2.005.422;54.684;36,7
2902;BA;NE;VALE SAO-FRANCISCANO DA BAHIA;-11,05287708;-42,15955862;0,614232835;MEDIO;1.035.919;114.179;9,1
2306;CE;NE;CENTRO-SUL CEARENSE;-6,546816284;-39,24838975;0,628483491;MEDIO;368.770;9.881;37,3
2305;CE;NE;JAGUARIBE;-5,307214875;-38,33051232;0,639629907;MEDIO;542.315;18.443;29,4
2303;CE;NE;METROPOLITANA DE FORTALEZA;-3,967016876;-38,66882725;0,727170024;ALTO;3.593.646;3.737;961,6
2301;CE;NE;NOROESTE CEARENSE;-3,955566349;-40,4944759;0,622570383;MEDIO;1.413.842;34.511;41
2302;CE;NE;NORTE CEARENSE;-4,135792159;-39,0614836;0,622734558;MEDIO;1.065.008;21.086;50,5
2304;CE;NE;SERTOES CEARENSES;-5,580078817;-39,77340542;0,615340055;MEDIO;861.510;46.267;18,6
2307;CE;NE;SUL CEARENSE;-7,19132582;-39,36880121;0,656315876;MEDIO;946.597;14.970;63,2
5301;DF;CO;DISTRITO FEDERAL;-15,83533476;-47,65190137;0,824;MUITO ALTO;2.817.068;5.761;489
3203;ES;SE;CENTRAL ESPIRITO-SANTENSE;-20,27100895;-40,83857908;0,754573072;ALTO;2.208.554;10.676;206,9
3202;ES;SE;LITORAL NORTE ESPIRITO-SANTENSE;-18,97496759;-40,32279694;0,715568149;ALTO;607.571;14.513;41,9
3201;ES;SE;NOROESTE ESPIRITO-SANTENSE;-18,93858112;-40,77821025;0,703766754;ALTO;425.370;12.046;35,3
3204;ES;SE;SUL ESPIRITO-SANTENSE;-20,75884493;-41,35718834;0,700998076;ALTO;591.991;8.839;67
5203;GO;CO;CENTRO GOIANO;-15,83486172;-49,79758243;0,749412568;ALTO;3.581.036;40.841;87,7
5204;GO;CO;LESTE GOIANO;-15,37147317;-47,375584;0,695774595;MEDIO;1.460.189;55.563;26,3
5201;GO;CO;NOROESTE GOIANO;-14,78602665;-50,67871383;0,6919331;MEDIO;223.185;55.684;4
5202;GO;CO;NORTE GOIANO;-13,79096252;-48,36678069;0,697675249;MEDIO;296.218;56.552;5,2
5205;GO;CO;SUL GOIANO;-17,53845281;-50,29217718;0,730398442;ALTO;1.494.600;131.596;11,4
2103;MA;NE;CENTRO MARANHENSE;-5,389365422;-45,31448511;0,59134295;BAIXO;910.262;54.371;16,7
2104;MA;NE;LESTE MARANHENSE;-5,300520812;-43,82984376;0,583944845;BAIXO;1.352.016;70.721;19,1
2101;MA;NE;NORTE MARANHENSE;-2,327925634;-44,59284575;0,670406195;MEDIO;2.779.087;49.919;55,7
2102;MA;NE;OESTE MARANHENSE;-3,007204291;-46,16341246;0,615636527;MEDIO;1.401.405;86.944;16,1
2105;MA;NE;SUL MARANHENSE;-7,87691243;-46,31611324;0,638777289;MEDIO;332.382;67.694;4,9
3111;MG;SE;CAMPO DAS VERTENTES;-21,25880073;-44,38517488;0,732909165;ALTO;578.266;12.581;46
3106;MG;SE;CENTRAL MINEIRA;-18,88623145;-44,94452239;0,708561758;ALTO;431.803;31.747;13,6
3103;MG;SE;JEQUITINHONHA;-17,25655897;-42,1843846;0,627433642;MEDIO;668.273;50.147;13,3
3107;MG;SE;METROPOLITANA DE BELO HORIZONTE;-19,51207097;-43,64919074;0,755683277;ALTO;6.579.866;39.574;166,3
3101;MG;SE;NOROESTE DE MINAS;-16,86060459;-46,39597698;0,711824566;ALTO;389.589;62.412;6,2
3102;MG;SE;NORTE DE MINAS;-16,19192687;-44,26698859;0,673418903;MEDIO;1.648.471;128.389;12,8
3109;MG;SE;OESTE DE MINAS;-20,29920279;-45,44286308;0,727540827;ALTO;1.050.867;24.037;43,7
3110;MG;SE;SUL/SUDOESTE DE MINAS;-21,69963281;-45,73809874;0,726834892;ALTO;2.592.054;49.577;52,3
3105;MG;SE;TRIANGULO MINEIRO/ALTO PARANAIBA;-19,1334541;-47,55926129;0,754321074;ALTO;2.409.450;90.531;26,6
3104;MG;SE;VALE DO MUCURI;-17,67413946;-41,27359673;0,647227971;MEDIO;367.091;20.092;18,3
3108;MG;SE;VALE DO RIO DOCE;-18,96778891;-42,11452615;0,692160979;MEDIO;1.599.800;41.710;38,4
3112;MG;SE;ZONA DA MATA;-21,02896439;-42,99175505;0,707923746;ALTO;2.223.188;35.708;62,3
5002;MS;CO;CENTRO NORTE DE MATO GROSSO DO SUL;-19,45159561;-54,34901308;0,765481403;ALTO;1.117.260;69.916;16
5003;MS;CO;LESTE DE MATO GROSSO DO SUL;-20,19875508;-52,95404351;0,717035054;ALTO;452.938;94.020;4,8
5001;MS;CO;PANTANAL SUL MATO-GROSSENSE;-19,75726618;-56,53182307;0,682290724;MEDIO;238.195;110.194;2,2
5004;MS;CO;SUDOESTE DE MATO GROSSO DO SUL;-21,8715237;-55,6910473;0,698802684;MEDIO;948.307;83.010;11,4
5104;MT;CO;CENTRO-SUL MATO-GROSSENSE;-15,77928862;-56,57066795;0,750586763;ALTO;1.188.893;96.022;12,4
