CODMICRO;CODMESO;UF;REGIAO;MICROREGIAO;LAT;LONG;IDHM2010;ESCALA_IDH;POP;AREA;DENSID
350835;3508;SP;SE;ADAMANTINA;-21,6297288;-51,04508047;0,749446021;ALTO;158.107;3.660;43,2
320307;3203;ES;SE;AFONSO CLAUDIO;-20,22529239;-41,01622205;0,681305012;MEDIO;143.588;3.824;37,5
210102;2101;MA;NE;AGLOMERACAO URBANA DE SAO LUIS;-2,524171559;-44,15877262;0,750546242;ALTO;1.458.836;970;1504,2
280204;2802;SE;NE;AGRESTE DE ITABAIANA;-10,70194567;-37,42872435;0,621247245;MEDIO;179.417;1.124;159,7
280206;2802;SE;NE;AGRESTE DE LAGARTO;-10,90013823;-37,68423555;0,611863861;MEDIO;119.892;1.500;80
240315;2403;RN;NE;AGRESTE POTIGUAR;-6,201813225;-35,52190818;0,5989984;BAIXO;235.599;3.525;66,8
310841;3108;MG;SE;AIMORES;-19,49042197;-41,43228671;0,65906085;MEDIO;149.286;8.315;18
270102;2701;AL;NE;ALAGOANA DO SERTAO DO SAO FRANCISCO;-9,468759173;-37,89879497;0,596851538;BAIXO;82.277;1.360;60,5
290417;2904;BA;NE;ALAGOINHAS;-11,72200899;-38,10843813;0,621269148;MEDIO;307.069;5.620;54,6
320411;3204;ES;SE;ALEGRE;-20,60495093;-41,58450713;0,670584875;MEDIO;165.567;3.454;47,9
311049;3110;MG;SE;ALFENAS;-21,40073545;-46,03622994;0,725127338;ALTO;233.277;4.992;46,7
150103;1501;PA;N;ALMEIRIM;0,142311514;-53,73231756;0,566636631;BAIXO;74.877;90.378;0,8
310314;3103;MG;SE;ALMENARA;-16,33634749;-40,67814257;0,609419259;MEDIO;176.967;15.440;11,5
510102;5101;MT;CO;ALTA FLORESTA;-9,421462948;-57,32075363;0,692450627;MEDIO;111.154;51.376;2,2
150515;1505;PA;N;ALTAMIRA;-5,739723267;-53,47828554;0,601230843;MEDIO;332.754;226.197;1,5
510522;5105;MT;CO;ALTO ARAGUAIA;-17,29959495;-53,44122028;0,703313422;ALTO;41.149;10.697;3,8
260309;2603;PE;NE;ALTO CAPIBARIBE;-7,876076339;-35,9985683;0,621972904;MEDIO;298.380;1.780;167,7
510312;5103;MT;CO;ALTO GUAPORE;-14,67457498;-59,56086199;0,684736965;MEDIO;82.126;31.397;2,6
210311;2103;MA;NE;ALTO MEARIM E GRAJAU;-5,731583615;-45,5481867;0,570830189;BAIXO;318.366;36.819;8,6
220415;2204;PI;NE;ALTO MEDIO CANINDE;-7,972342457;-41,28620979;0,564861899;BAIXO;264.596;31.554;8,4
220310;2203;PI;NE;ALTO MEDIO GURGUEIA;-9,4088363;-45,11858961;0,59765158;BAIXO;95.913;27.752;3,5
510418;5104;MT;CO;ALTO PANTANAL;-16,53205189;-57,1368713;0,68828069;MEDIO;132.851;53.384;2,5
510415;5104;MT;CO;ALTO PARAGUAI;-14,5781648;-57,05928038;0,685094805;MEDIO;30.589;6.674;4,6
220307;2203;PI;NE;ALTO PARNAIBA PIAUIENSE;-8,396826324;-45,34153165;0,599384793;BAIXO;50.726;25.503;2
130203;1302;AM;N;ALTO SOLIMOES;-4,645398625;-69,59958881;0,54933706;BAIXO;262.013;213.312;1,2
500203;5002;MS;CO;ALTO TAQUARI;-18,52364332;-54,09438139;0,699126941;MEDIO;124.664;41.670;3
510106;5101;MT;CO;ALTO TELES PIRES;-13,03956469;-55,39306904;0,745228651;ALTO;310.071;54.446;5,7
110205;1102;RO;N;ALVORADA D'OESTE;-11,57108296;-62,84845354;0,63589325;MEDIO;61.602;15.966;3,9
160102;1601;AP;N;AMAPA;1,563110834;-51,0137311;0,61147333;MEDIO;24.691;20.088;1,2
350733;3507;SP;SE;AMPARO;-22,67645716;-46,62000422;0,755790972;ALTO;193.266;1.630;118,5
520307;5203;GO;CO;ANAPOLIS;-15,99496042;-49,48971522;0,72604116;ALTO;624.173;8.345;74,8
350316;3503;SP;SE;ANDRADINA;-20,92586846;-51,27056249;0,764100701;ALTO;187.873;6.886;27,3
311055;3110;MG;SE;ANDRELANDIA;-21,89455547;-44,40864056;0,679935355;MEDIO;74.314;5.053;14,7
240209;2402;RN;NE;ANGICOS;-5,67781103;-36,34001218;0,600163864;MEDIO;49.663;4.080;12,2
520309;5203;GO;CO;ANICUNS;-16,46457295;-50,20150551;0,717309826;ALTO;110.604;5.514;20,1
410310;4103;PR;S;APUCARANA;-23,67985105;-51,43361695;0,741570375;ALTO;318.857;2.278;140
500102;5001;MS;CO;AQUIDAUANA;-20,21902153;-55,85969164;0,664041963;MEDIO;107.546;27.903;3,9
280311;2803;SE;NE;ARACAJU;-10,89530868;-37,10027818;0,73166539;ALTO;932.210;867;1074,6
350317;3503;SP;SE;ARACATUBA;-21,16911101;-50,73461136;0,775417957;ALTO;278.775;5.365;52
310312;3103;MG;SE;ARACUAI;-16,97931456;-41,88333039;0,605414459;MEDIO;142.786;10.272;13,9
520103;5201;GO;CO;ARAGARCAS;-16,19579261;-51,83084083;0,709658794;ALTO;55.043;11.049;5
170102;1701;TO;N;ARAGUAINA;-7,445521877;-48,43615296;0,709680213;ALTO;294.996;26.437;11,2
270206;2702;AL;NE;ARAPIRACA;-9,76680232;-36,63605129;0,600683822;MEDIO;431.874;2.434;177,4
420620;4206;SC;S;ARARANGUA;-29,0202696;-49,89060801;0,737775409;ALTO;222.182;2.967;74,9
350524;3505;SP;SE;ARARAQUARA;-21,68057346;-48,43554368;0,777216228;ALTO;540.518;6.266;86,3
150206;1502;PA;N;ARARI;-0,529523489;-49,3842999;0,556316033;BAIXO;170.868;27.615;6,2
260101;2601;PE;NE;ARARIPINA;-8,016573878;-40,18324532;0,578770437;BAIXO;319.438;11.545;27,7
310523;3105;MG;SE;ARAXA;-19,5591811;-47,02281746;0,743287578;ALTO;232.073;14.098;16,5
510105;5101;MT;CO;ARINOS;-12,26022187;-57,09896764;0,681636849;MEDIO;74.407;54.917;1,4
510101;5101;MT;CO;ARIPUANA;-11,33769779;-59,34157414;0,671178507;MEDIO;145.490;124.054;1,2
110203;1102;RO;N;ARIQUEMES;-9,516582839;-62,57799699;0,661226453;MEDIO;170.817;24.334;7
410414;4104;PR;S;ASSAI;-23,41996373;-50,81741555;0,698608868;MEDIO;65.970;2.238;29,5
351039;3510;SP;SE;ASSIS;-22,54479535;-50,58492198;0,769205127;ALTO;269.077;7.137;37,7
410306;4103;PR;S;ASTORGA;-23,06203243;-51,88278536;0,721448401;ALTO;202.241;5.117;39,5
350106;3501;SP;SE;AURIFLAMA;-20,63524596;-50,40544309;0,748962916;ALTO;43.145;2.314;18,6
350422;3504;SP;SE;AVARE;-23,21270669;-48,93913744;0,73854956;ALTO;199.991;5.908;33,9
330409;3304;RJ;SE;BACIA DE SAO JOAO;-22,50736047;-42,19715839;0,751977473;ALTO;223.953;1.629;137,5
330513;3305;RJ;SE;BAIA DA ILHA GRANDE;-23,08940288;-44,53696658;0,717447492;ALTO;212.290;1.738;122,2
240313;2403;RN;NE;BAIXA VERDE;-5,479008654;-35,87362624;0,586057898;BAIXO;61.850;1.920;32,2
210105;2101;MA;NE;BAIXADA MARANHENSE;-3,001074966;-45,11981766;0,587322755;BAIXO;574.534;17.101;33,6
280310;2803;SE;NE;BAIXO COTINGUIBA;-10,75269387;-37,0804592;0,633560095;MEDIO;85.282;742;114,9
230209;2302;CE;NE;BAIXO CURU;-3,507723157;-39,12310337;0,648334048;MEDIO;124.928;1.437;87
230523;2305;CE;NE;BAIXO JAGUARIBE;-5,06025153;-38,26529157;0,644816604;MEDIO;317.903;9.922;32
500101;5001;MS;CO;BAIXO PANTANAL;-19,43815679;-56,88653743;0,697312509;MEDIO;130.649;82.292;1,6
210413;2104;MA;NE;BAIXO PARNAIBA MARANHENSE;-3,128973778;-42,2753596;0,540392526;BAIXO;126.468;6.035;21
220101;2201;PI;NE;BAIXO PARNAIBA PIAUIENSE;-4,037376803;-42,10517221;0,576585095;BAIXO;344.293;12.498;27,5
351352;3513;SP;SE;BANANAL;-22,7159997;-44,57289583;0,702851862;ALTO;25.915;2.064;12,6
311159;3111;MG;SE;BARBACENA;-21,20697677;-43,78074621;0,731257849;ALTO;221.862;3.364;65,9
290206;2902;BA;NE;BARRA;-11,23220354;-43,07168059;0,577142924;BAIXO;172.483;32.551;5,3
320101;3201;ES;SE;BARRA DE SAO FRANCISCO;-18,46422131;-40,86806047;0,669930259;MEDIO;89.302;4.025;22,2
330512;3305;RJ;SE;BARRA DO PIRAI;-22,26369874;-43,84407422;0,732199263;ALTO;169.590;2.364;71,7
290101;2901;BA;NE;BARREIRAS;-11,98999822;-45,5980939;0,684738641;MEDIO;365.069;52.880;6,9
350209;3502;SP;SE;BARRETOS;-20,55638614;-48,64568737;0,781443988;ALTO;147.601;2.717;54,3
230731;2307;CE;NE;BARRO;-7,163555163;-38,82774838;0,603688346;MEDIO;88.656;2.676;33,1
270104;2701;AL;NE;BATALHA;-9,660852682;-37,08987967;0,556796821;BAIXO;88.843;1.797;49,4
350215;3502;SP;SE;BATATAIS;-21,04908893;-47,4080615;0,741327036;ALTO;110.740;3.089;35,9
230213;2302;CE;NE;BATURITE;-4,404003691;-38,86435373;0,617486983;MEDIO;185.982;2.706;68,7
350420;3504;SP;SE;BAURU;-22,33828074;-49,24813463;0,779938001;ALTO;609.545;8.511;71,6
150307;1503;PA;N;BELEM;-1,418636224;-48,47823676;0,727255144;ALTO;2.103.988;3.130;672,3
310730;3107;MG;SE;BELO HORIZONTE;-19,8720278;-44,08699452;0,767006332;ALTO;5.000.957;5.819;859,4
220308;2203;PI;NE;BERTOLINIA;-7,340048944;-43,97635119;0,593989659;BAIXO;41.197;11.092;3,7
170101;1701;TO;N;BICO DO PAPAGAIO;-6,132411213;-48,04586517;0,629579451;MEDIO;202.747;15.768;12,9
350318;3503;SP;SE;BIRIGUI;-21,37344528;-50,28878774;0,759502317;ALTO;271.022;4.510;60,1
420412;4204;SC;S;BLUMENAU;-26,89789411;-49,18706466;0,787751421;ALTO;824.626;4.745;173,8
140101;1401;RR;N;BOA VISTA;3,667346502;-62,19540111;0,730354527;ALTO;467.784;67.640;6,9
130411;1304;AM;N;BOCA DO ACRE;-7,639100266;-67,82651587;0,555487851;BAIXO;54.820;63.563;0,9
310209;3102;MG;SE;BOCAIUVA;-17,37145412;-43,74132815;0,683579978;MEDIO;69.325;7.874;8,8
500409;5004;MS;CO;BODOQUENA;-21,45247918;-56,21233214;0,680396123;MEDIO;106.015;23.069;4,6
310626;3106;MG;SE;BOM DESPACHO;-19,67605758;-45,51980495;0,725679583;ALTO;178.895;7.495;23,9
290207;2902;BA;NE;BOM JESUS DA LAPA;-13,58416036;-43,71928479;0,602579545;MEDIO;176.932;14.411;12,3
280312;2803;SE;NE;BOQUIM;-11,32291689;-37,7188828;0,577522598;BAIXO;156.338;1.838;85,1
290622;2906;BA;NE;BOQUIRA;-12,73742953;-42,50950872;0,588936842;BAIXO;180.278;16.265;11,1
240314;2403;RN;NE;BORBOREMA POTIGUAR;-6,204578734;-35,99208916;0,609291834;MEDIO;130.941;3.904;33,5
350423;3504;SP;SE;BOTUCATU;-22,93325594;-48,36236484;0,775520167;ALTO;226.089;4.375;51,7
351248;3512;SP;SE;BRAGANCA PAULISTA;-23,02382168;-46,55821384;0,759141825;ALTO;605.491;3.131;193,4
150410;1504;PA;N;BRAGANTINA;-0,984350552;-46,8825806;0,591380948;BAIXO;403.989;8.755;46,1
120205;1202;AC;N;BRASILEIA;-10,75110305;-69,32192013;0,61747789;MEDIO;71.100;15.911;4,5
530101;5301;DF;CO;BRASILIA;-15,83533476;-47,65190137;0,824;MUITO ALTO;2.817.068;5.761;489
250315;2503;PB;NE;BREJO PARAIBANO;-6,912560508;-35,66954137;0,575048347;BAIXO;113.327;1.168;97
260312;2603;PE;NE;BREJO PERNAMBUCANO;-8,510439334;-35,84073483;0,574587771;BAIXO;210.257;2.542;82,7
230733;2307;CE;NE;BREJO SANTO;-7,539583993;-38,9695839;0,640641983;MEDIO;103.861;1.933;53,7
290627;2906;BA;NE;BRUMADO;-14,41417974;-41,50245778;0,593249404;BAIXO;232.815;15.398;15,1
430422;4304;RS;S;CACHOEIRA DO SUL;-30,10345387;-52,71324556;0,716309934;ALTO;144.850;7.582;19,1
320412;3204;ES;SE;CACHOEIRO DE ITAPEMIRIM;-20,85205787;-41,30376019;0,724322491;ALTO;330.967;4.109;80,5
110206;1102;RO;N;CACOAL;-12,13655606;-61,8842414;0,686842608;MEDIO;230.457;24.526;9,4
250102;2501;PB;NE;CAJAZEIRAS;-6,844130581;-38,51520147;0,628150507;MEDIO;173.175;3.419;50,6
430528;4305;RS;S;CAMAQUA;-30,633036;-51,80490188;0,676293717;MEDIO;131.191;6.168;21,3
150411;1504;PA;N;CAMETA;-2,634048996;-49,57545913;0,582378541;BAIXO;499.455;16.662;30
430630;4306;RS;S;CAMPANHA CENTRAL;-30,54631367;-55,08396095;0,711465174;ALTO;182.134;17.299;10,5
430631;4306;RS;S;CAMPANHA MERIDIONAL;-31,09502363;-54,09818675;0,726775726;ALTO;172.222;14.259;12,1
430629;4306;RS;S;CAMPANHA OCIDENTAL;-29,48445086;-55,84259252;0,728183272;ALTO;344.336;31.106;11,1
250317;2503;PB;NE;CAMPINA GRANDE;-7,307500294;-35,92633973;0,69297371;MEDIO;547.437;2.092;261,6
350732;3507;SP;SE;CAMPINAS;-22,895702;-47,17823652;0,790853556;ALTO;2.966.085;3.082;962,3
310945;3109;MG;SE;CAMPO BELO;-20,9101076;-45,24312789;0,704064959;ALTO;113.702;2.699;42,1
500204;5002;MS;CO;CAMPO GRANDE;-20,63834459;-54,51295094;0,773815118;ALTO;992.596;28.243;35,1
220204;2202;PI;NE;CAMPO MAIOR;-4,991399803;-41,62193754;0,584178804;BAIXO;221.735;24.342;9,1
410205;4102;PR;S;CAMPO MOURAO;-24,265438;-52,29335074;0,727679597;ALTO;226.449;7.070;32
420310;4203;SC;S;CAMPOS DE LAGES;-27,87346284;-50,24496211;0,733980268;ALTO;293.578;15.732;18,7
351349;3513;SP;SE;CAMPOS DO JORDAO;-22,76844304;-45,68317879;0,737460624;ALTO;69.929;1.008;69,4
330203;3302;RJ;SE;CAMPOS DOS GOYTACAZES;-21,61158608;-41,42334051;0,704704954;ALTO;617.080;7.160;86,2
510210;5102;MT;CO;CANARANA;-13,43956363;-52,73532237;0,67868335;MEDIO;136.741;60.339;2,3
230212;2302;CE;NE;CANINDE;-4,341622022;-39,3449913;0,598404997;BAIXO;121.359;5.328;22,8
420206;4202;SC;S;CANOINHAS;-26,36512419;-50,25672518;0,738351173;ALTO;250.945;9.419;26,6
330306;3303;RJ;SE;CANTAGALO-CORDEIRO;-21,94463042;-42,40227494;0,711541904;ALTO;62.786;1.244;50,5
410725;4107;PR;S;CAPANEMA;-25,78995088;-53,61465838;0,710949451;ALTO;103.781;2.318;44,8
351144;3511;SP;SE;CAPAO BONITO;-24,320575;-48,63409433;0,694454886;MEDIO;134.137;6.537;20,5
310311;3103;MG;SE;CAPELINHA;-17,44404458;-42,65179666;0,6401845;MEDIO;185.046;12.008;15,4
140203;1402;RR;N;CARACARAI;1,31428141;-61,44241122;0,63051778;MEDIO;49.044;73.729;0,7
351354;3513;SP;SE;CARAGUATATUBA;-23,52292073;-45,24254911;0,759613884;ALTO;344.329;1.942;177,3
310840;3108;MG;SE;CARATINGA;-19,55372707;-42,07096949;0,657956226;MEDIO;258.602;5.522;46,8
430109;4301;RS;S;CARAZINHO;-27,99857418;-53,08089116;0,746511171;ALTO;162.742;4.936;33
280102;2801;SE;NE;CARIRA;-10,43315739;-37,61791528;0,592687277;BAIXO;69.189;1.876;36,9
230732;2307;CE;NE;CARIRI;-7,266141065;-39,3654108;0,68267713;MEDIO;605.839;4.526;133,9
250210;2502;PB;NE;CARIRI OCIDENTAL;-7,721563784;-36,93826792;0,605721864;MEDIO;124.964;7.012;17,8
250211;2502;PB;NE;CARIRI ORIENTAL;-7,579873545;-36,23450174;0,597336194;BAIXO;66.304;4.224;15,7
230730;2307;CE;NE;CARIRIACU;-6,957871246;-39,45901064;0,599342415;BAIXO;56.160;1.349;41,6
230215;2302;CE;NE;CASCAVEL;-25,02808123;-53,19966571;0,73147692;ALTO;650.581;11.025;59
500305;5003;MS;CO;CASSILANDIA;-18,93733898;-52,58619175;0,730717527;ALTO;83.528;16.131;5,2
150308;1503;PA;N;CASTANHAL;-1,394614396;-48,04117473;0,654244969;MEDIO;327.450;3.752;87,3
311266;3112;MG;SE;CATAGUASES;-21,51502471;-42,62592513;0,724887517;ALTO;208.235;3.916;53,2
520517;5205;GO;CO;CATALAO;-17,82737202;-47,95000178;0,747594332;ALTO;179.504;15.203;11,8
350105;3501;SP;SE;CATANDUVA;-21,07060901;-48,88458805;0,761777108;ALTO;219.604;2.282;96,2
250101;2501;PB;NE;CATOLE DO ROCHA;-6,345032952;-37,61729714;0,599498888;BAIXO;117.846;3.036;38,8
290519;2905;BA;NE;CATU;-12,44728806;-38,32527283;0,660193803;MEDIO;204.698;2.777;73,7
210417;2104;MA;NE;CAXIAS;-5,310460888;-43,4837395;0,61673993;MEDIO;434.203;15.340;28,3
430216;4302;RS;S;CAXIAS DO SUL;-29,07649844;-51,27921648;0,778548942;ALTO;837.142;4.970;168,4
520306;5203;GO;CO;CERES;-14,97915027;-49,46777014;0,72079121;ALTO;252.148;13.170;19,1
411035;4110;PR;S;CERRO AZUL;-24,76145799;-49,10129793;0,588460711;BAIXO;28.087;3.468;8,1
430106;4301;RS;S;CERRO LARGO;-28,10711948;-54,84518315;0,730053694;ALTO;63.638;2.254;28,2
240102;2401;RN;NE;CHAPADA DO APODI;-5,624171901;-37,74174315;0,630862799;MEDIO;73.549;4.096;18
230729;2307;CE;NE;CHAPADA DO ARARIPE;-6,981776837;-40,03757084;0,585971351;BAIXO;92.081;4.485;20,5
520205;5202;GO;CO;CHAPADA DOS VEADEIROS;-13,70685245;-47,34171937;0,665251482;MEDIO;68.478;21.362;3,2
210521;2105;MA;NE;CHAPADAS DAS MANGABEIRAS;-7,192860735;-45,3363988;0,589491921;BAIXO;71.355;16.973;4,2
210418;2104;MA;NE;CHAPADAS DO ALTO ITAPECURU;-6,41056479;-44,38665647;0,578947808;BAIXO;209.286;25.022;8,4
