codra;ra;lat;long
1;PORTUARIA;-22.88928106;-43.20676819
2;CENTRO;-22.91053612;-43.17548573
3;RIO COMPRIDO;-22.92051366;-43.20578526
4;BOTAFOGO;-22.94762175;-43.18715496
5;COPACABANA;-22.97194388;-43.18373121
6;LAGOA;-22.98310527;-43.21532589
7;SAO CRISTOVAO;-22.89770176;-43.22115384
8;TIJUCA;-22.9445298;-43.25133772
9;VILA ISABEL;-22.91768231;-43.23876334
10;RAMOS;-22.85600461;-43.25263308
11;PENHA;-22.83220645;-43.28372393
12;INHAUMA;-22.87823042;-43.28112738
13;MEIER;-22.90259537;-43.29177929
14;IRAJA;-22.83916095;-43.32435043
15;MADUREIRA;-22.8662447;-43.34584454
16;JACAREPAGUA;-22.95584262;-43.37457944
17;BANGU;-22.87284167;-43.47919797
18;CAMPO GRANDE;-22.89823765;-43.56572664
19;SANTA CRUZ;-22.93145035;-43.68345223
20;ILHA DO GOVERNADOR;-22.81692238;-43.23120018
21;PAQUETA;-22.761389;-43.108028
22;ANCHIETA;-22.83193765;-43.39200929
23;SANTA TEREZA;-22.9181862;-43.18614241
24;BARRA DA TIJUCA;-23.00692912;-43.3785452
25;PAVUNA;-22.82470217;-43.35625701
26;GUARATIBA;-22.98134699;-43.59950411
27;ROCINHA;-22.98859593;-43.2480088
28;JACAREZINHO;-22.887833;-43.264028
29;COMPLEXO DO ALEMÃO;-22.86002222;-43.26779167
30;COMPLEXO DA MARE;-22.878889;-43.239167
31;VIGARIO GERAL;-22.81425839;-43.29756754
33;REALENGO;-22.87939394;-43.41452015
34;CIDADE DE DEUS;-22.94638494;-43.36191024
